from,to,code
/learning-ddd/,/,301
/sessions/60/,/sessions/splitting-systems-towards-bounded-contexts-and-microservices/,301
/sessions/61/,/sessions/relationships-between-problem-and-solution-space/,301
/sessions/62/,/sessions/beyond-the-hexagonal-architecture-functional-core/,301
/sessions/63/,/sessions/fostering-autonomous-teams-with-proper-leadership-culture/,301
/sessions/64/,/sessions/fostering-autonomous-teams-with-proper-leadership-culture/,301
/sessions/65/,/sessions/udi-dahan-ask-me-anything/,301
/sessions/66/,/sessions/live-coding-legacy-live-coding-with-dr-carola-lilienthal/,301
/sessions/67/,/sessions/how-epistemic-injustice-impacts-domain-crunching-with-cat-swetel/,301
/sessions/68/,/sessions/collaborating-and-communicating-with-wardley-maps/,301
/sessions/69/,/sessions/do-we-need-software-architects/,301
/sessions/70/,/sessions/collaborating-and-communicating-with-wardley-maps-part-2/,301
/sessions/71/,/sessions/fifty-ways-to-scale-your-agile-with-grady-booch/,301
/sessions/72/,/sessions/outcome-mapping-for-flow-engineering-with-steve-pereira/,301
/sessions/73/,/sessions/domain-driven-frontend-with-francesco-strazzullo/,301
/sessions/74/,/sessions/when-to-invest-in-strategic-design-and-when-in-tactical-design/,301
/sessions/75/,/sessions/open-sociotechnical-systems-thinking-with-trond-hjorteland/,301
/sessions/76/,/sessions/domain-drinking-dialogues-2nd-edition-2021-lean-coffee/,301
/sessions/77/,/sessions/design-reality-with-mathias-verraes/,301
/sessions/78/,/sessions/from-the-problem-to-software-a-walkthrough-with-krisztina-hirth/,301
/sessions/79/,/sessions/what-writing-a-book-taught-us-about-collaborative-modeling/,301
/sessions/80/,/sessions/long-term-impact-of-architectural-design-decision/,301
/sessions/81/,/sessions/effective-team-collaboration-and-why-we-need-it-for-modern-product-experiences/,301
/sessions/82/,/sessions/the-hard-skills-with-diana-montalion/,301
/sessions/83/,/sessions/an-introduction-to-residuality-theory-by-barry-m-oreilly/,301
/sessions/84/,/sessions/sharing-your-systems-knowledge-with-bytesize-architecture-sessions-with-andrea-magnorsky/,301
/sessions/85/,/open-space/architectural-decision-making-gathering/,301
/sessions/86/,/sessions/the-power-of-personal-engagement-by-rozemarijn-evelien/,301
/sessions/87/,/open-space/exploring-integrative-leadership-in-complex-systems/,301
/sessions/89/,/sessions/domain-experiments-with-mike-wojtyna/,301
/sessions/90/,/sessions/orchestration-and-choreography-with-laila-bougria-udi-dahan/,301
/sessions/91/,/sessions/practical-residuality-by-barry-m-oreilly/,301
/sessions/92/,/open-space/systems-thinking-and-skillful-interaction/,301
/sessions/93/,/open-space/improving-your-software-design-by-nourishing-diversity/,301
/sessions/94/,/sessions/soft-skills-for-technical-professionals-by-jacqui-read/,301
