slug,confidence,guests,organiser,title,how_found
abstractions-as-bridges-with-hazel-weakly,MEDIUM,Hazel Weakly,Andrea Magnorsky,Abstractions as bridges with Hazel Weakly,Hazel Weakly=title
an-introduction-to-domain-storytelling,NONE,,Kenny Baas-Schwegler,An Introduction to Domain Storytelling,
an-introduction-to-residuality-theory-by-barry-m-oreilly,NONE,,Kenny Baas-Schwegler,An Introduction to Residuality Theory by Barry M O'Reilly,
balancing-upfront-design-versus-iterative-design,HIGH,Dawn Ahukanna; Rebecca Wirfs-Brock; Vladik Khononov; Trond Hjorteland,Kenny Baas-Schwegler,Balancing upfront design versus iterative design,Dawn Ahukanna=body; Rebecca Wirfs-Brock=body+known; Vladik Khononov=body; Trond Hjorteland=body
beyond-the-hexagonal-architecture-functional-core,MEDIUM,Thomas PIERRAIN; Bruno BOUCARD,Kenny Baas-Schwegler,Beyond the hexagonal architecture: Functional Core & ...,Thomas PIERRAIN=body; Bruno BOUCARD=body
can-business-capabilities-be-useful-in-ddd-with-trond-hjorteland,MEDIUM,Trond Hjorteland,Kenny Baas-Schwegler,Can business capabilities be useful in DDD with Trond Hjorteland,Trond Hjorteland=title
case-study-context-mapping-with-michael-plod,HIGH,Michael Plöd,Kenny Baas-Schwegler,Case-study context mapping with Michael Plöd,Michael Plöd=title+known
collaborating-and-communicating-with-wardley-maps-part-2,MEDIUM,Ben Mosior,Kenny Baas-Schwegler,Collaborating and Communicating with Wardley Maps Part 2,Ben Mosior=body
collaborating-and-communicating-with-wardley-maps,MEDIUM,Ben Mosior,Kenny Baas-Schwegler,Collaborating and Communicating with Wardley Maps,Ben Mosior=body
combatting-the-near-enemies-of-domain-driven-design-at-scale,NONE,,Kenny Baas-Schwegler,Combatting the Near Enemies of Domain Driven Design at Scale,
craftconf-meetup-with-nick-tune-and-helin-akgul,HIGH,Nick Tune; Helin Akgul,Kenny Baas-Schwegler,CraftConf meetup with Nick Tune and Helin Akgul,Nick Tune=title+known; Helin Akgul=title
creating-a-playbook-for-ddd-for-the-inside-of-your-team-with-julie-lerman,MEDIUM,Julie Lerman,Kenny Baas-Schwegler,Creating a Playbook for DDD for the inside of your team with Julie Lerman,Julie Lerman=title
critically-engaging-with-models-a-conversation-with-rebecca-and-mathias,HIGH,Rebecca Wirfs-Brock,Andrea Magnorsky,Critically Engaging with Models a conversation with Rebecca,Rebecca Wirfs-Brock=body+known
ddd-domain-modeling-using-ai-to-accelerate-design-with-staffan-palopaa,NONE,,Zsofia Herendi,DDD & Domain Modeling: Using AI to Accelerate Design - with Staffan Palopää,Staffan Palop=title
ddd-london-creating-a-playbook-for-ddd-newcomers,NONE,,Kenny Baas-Schwegler,[DDD London] Creating a Playbook for DDD Newcomers,
ddd-london-ddd-lite-independent-service-heuristics-with-matthew-skelton,MEDIUM,Matthew Skelton,Kenny Baas-Schwegler,[DDD London] DDD-Lite: Independent Service Heuristics with Matthew Skelton,Matthew Skelton=title
ddddd-20-aggregate-canvas-by-kim-kao,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Aggregate Canvas by Kim Kao,
ddddd-20-bounded-contexts-microservices-and-everything-in-between,NONE,,Kenny Baas-Schwegler,"[DDDDD-20] Bounded Contexts, Microservices, and Everything In Between",
ddddd-20-bourdieus-social-theory-applied-to-tech,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Bourdieu's social theory applied to tech,
ddddd-20-build-a-bounded-context-mob-firedrill,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Build a Bounded Context Mob Firedrill,
ddddd-20-context-maps-practically-applied,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Context Maps - practically applied,
ddddd-20-ddd-for-small-organizations,NONE,,Kenny Baas-Schwegler,[DDDDD-20] DDD For Small Organizations,
ddddd-20-extreme-context-mapping,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Extreme Context Mapping,
ddddd-20-from-capabilities-to-services-modelling-for-business-it-alignment,NONE,,Kenny Baas-Schwegler,[DDDDD-20] From Capabilities to Services: Modelling for business-IT alignment,
ddddd-20-functional-domain-modelling-in-practice,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Functional Domain Modelling in Practice,
ddddd-20-its-traverse,NONE,,Kenny Baas-Schwegler,[DDDDD-20]  « it's traverse »,
ddddd-20-live-coding-expressive-projections,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Live coding: Expressive Projections,Dogged Determination=body
ddddd-20-natural-boundaries-how-to-read-the-signs-and-benefit-from-the-problems,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Natural Boundaries - how to read the signs and benefit from the problems,Natural Boundaries=title
ddddd-20-panel-event-sourcing-really-with-alexey,NONE,,Kenny Baas-Schwegler,"[DDDDD-20] Panel: Event Sourcing, Really with Alexey",
ddddd-20-panel-experimentation-in-design-with-rebecca-woody-paul-and-julie,NONE,,Kenny Baas-Schwegler,"[DDDDD-20] Panel: experimentation in design with Rebecca, Woody, Paul and Julie",
ddddd-20-panelremote-related-trainings-with-michael-gien-zsofia-stefan-kacper,NONE,,Kenny Baas-Schwegler,"[DDDDD-20] Panel:Remote related trainings with Michael, Gien, Zsofia, Stefan & Kacper",
ddddd-20-remote-bounded-context-modelling,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Remote Bounded Context Modelling,
ddddd-20-speaking-truth-to-power-a-foundational-skillset,NONE,,Kenny Baas-Schwegler,[DDDDD-20] Speaking truth to power: a foundational skillset,
decoding-paradoxes-why-are-many-good-ideas-in-software-delivery-counter-intuitive,NONE,,Kenny Baas-Schwegler,Decoding Paradoxes: Why are many good ideas in Software Delivery counter-intuitive,
design-better-products-with-real-cross-functional-teams-jutta-maryse,MEDIUM,Jutta Eckstein; Maryse Meinen,Kenny Baas-Schwegler,Design better products with real cross-functional teams - Jutta & Maryse,Jutta Eckstein=body; Maryse Meinen=body
design-reality-with-mathias-verraes,HIGH,Mathias Verraes,Kenny Baas-Schwegler,Design & Reality with Mathias Verraes,Mathias Verraes=title+known
do-we-need-software-architects,NONE,,Kenny Baas-Schwegler,Do we need software architects?,
does-a-domain-driven-design-approach-need-an-agile-business,NONE,,Kenny Baas-Schwegler,Does a Domain-driven design approach need an agile business?,
domain-drinking-dialogues-2020-ending-ask-us-anything-party,NONE,,Kenny Baas-Schwegler,Domain-Drinking Dialogues - 2020 ending Ask us anything party,Domain-Drinking Dialogues=title
domain-drinking-dialogues-2nd-edition-2021-lean-coffee,NONE,,Kenny Baas-Schwegler,Domain-Drinking Dialogues 2nd edition - 2021 Lean coffee,Domain-Drinking Dialogues=title
domain-driven-frontend-with-francesco-strazzullo,MEDIUM,Francesco Strazzullo,Kenny Baas-Schwegler,Domain-Driven Frontend with Francesco Strazzullo,Francesco Strazzullo=title
domain-experiments-with-mike-wojtyna,MEDIUM,Mike Wojtyna,Kenny Baas-Schwegler,Domain Experiments with Mike Wojtyna,Mike Wojtyna=title
effective-team-collaboration-and-why-we-need-it-for-modern-product-experiences,HIGH,Dawn Ahukanna; Nivia Henry; Jessica Kerr; Ruth Malan; Rebecca Wirfs-Brock; Mathias Verraes; Trond Hjorteland,Kenny Baas-Schwegler,Effective team collaboration and why we need it for modern product experiences?,Dawn Ahukanna=body; Nivia Henry=body; Jessica Kerr=body; Ruth Malan=body; Rebecca Wirfs-Brock=body+known; Mathias Verraes=body+known; Trond Hjorteland=body
escaping-the-enshittification-trap-systems-thinking-for-sustainable-quality,NONE,,Andrea Magnorsky,Escaping the Enshittification Trap: Systems Thinking for Sustainable Quality,
