slug,date,title,youtube_id,other_url
%e5%8a%89%e5%ae%a5%e8%be%b0-%e5%be%9e%e6%b7%b7%e4%ba%82%e5%88%b0%e7%b5%84%e7%b9%94%ef%bc%9addd-%e8%88%87-clean-architecture-%e7%9a%84%e6%8c%81%e7%ba%8c%e7%b2%be%e9%80%b2%e6%8c%91%e6%88%b0%e4%b9%8b,2022-12-15,劉宥辰 - 從混亂到組織：DDD 與 Clean Architecture 的持續精進挑戰之道,AiQgpOXk2kk,
%e6%b0%b4%e7%90%83%e6%bd%98-%e6%96%b0%e5%89%b5%e5%88%b0%e5%ba%95%e9%81%a9%e4%b8%8d%e9%81%a9%e5%90%88%e8%b5%b0-ddd-%ef%bc%9f-%e5%b0%b1%e8%ae%93%e6%88%91%e5%85%ac%e5%8f%b8%e7%95%b6%e7%99%bd%e8%80%81,2022-12-27,水球潘 -  新創到底適不適合走 DDD ？ 就讓我公司當白老鼠走一次 Scrum x DDD 試試看吧,wtubL3MIOq8,
%e7%a8%8b%e7%ab%a0%e5%b0%a7-ddd-applied-introducing-tdd-while-breaking-down-legacy-monolith,2022-12-24,程章尧 - DDD Applied: Introducing TDD while breaking down legacy monolith,LpSY2VQbU6M,
%e8%92%bc%e6%99%82%e5%bc%a6%e4%b9%9f-%e5%b0%8e%e5%85%a5-domain-driven-design-%e7%9a%84%e6%9c%80%e4%bd%b3%e6%99%82%e6%a9%9f,2022-12-21,蒼時弦也 - 導入 Domain-Driven Design 的最佳時機,NJYUtttySac,
2020-ddd-conference-day1-recap-video,2019-12-12,2020 DDD Conference Day1 Recap Video,ezEALMvRxJY,
2020-ddd-conference-day2-recap-video,2019-12-20,2020 DDD Conference Day2 Recap Video,WZzdLfewgfw,
2020-dddtw-%e5%b9%b4%e6%9c%83-%e5%88%a9%e7%94%a8%e5%a4%96%e5%8c%85%e8%b3%87%e6%ba%90%e5%bc%b7%e5%8c%96%e5%85%a7%e9%83%a8%e9%96%8b%e7%99%bc%e6%b5%81%e7%a8%8b%e5%96%84%e7%94%a8%e5%be%ae%e6%9c%8d,2019-12-21,[2020 DDDTW 年會]  利用外包資源強化內部開發流程善用微服務特性進行工作切割 - Paul 施政源,oSbtUF-XQ_U,
2020-dddtw-%e5%b9%b4%e6%9c%83-%e5%9c%98%e9%9a%8a%e5%b7%a5%e4%bd%9c%e6%b5%81%e7%a8%8b%e7%9a%84%e8%bf%ad%e4%bb%a3%e8%88%87%e6%94%b9%e5%96%84-sam-%e9%bb%83%e4%b8%96%e9%8a%98,2019-12-11,[2020 DDDTW 年會] 團隊工作流程的迭代與改善 - Sam 黃世銘,IqDDZJqOGaY,
2020-dddtw-%e5%b9%b4%e6%9c%83-%e5%b0%87%e7%ae%a1%e7%90%86%e7%9a%84%e9%9c%80%e6%b1%82%e8%a6%8f%e6%a0%bc%e8%90%bd%e5%9c%b0-kevin-%e9%bb%83%e5%86%a0%e8%9e%8d,2019-12-02,[2020 DDDTW 年會] 將管理的需求規格落地 - Kevin 黃冠融,O4MEdP4gAyg,
2020-dddtw-%e5%b9%b4%e6%9c%83-%e9%82%8a%e7%95%8c%e5%8a%83%e5%88%86%e7%9a%84%e8%97%9d%e8%a1%93-%e5%af%a6%e8%b8%90%e4%ba%8b%e4%bb%b6%e9%a9%85%e5%8b%95%e7%9a%84%e5%be%ae%e6%9c%8d%e5%8b%99-michael,2019-12-19,[2020 DDDTW 年會] 邊界劃分的藝術-實踐事件驅動的微服務 - Michael 孫翊軒,NGvJXcJ2e98,
